country,name,cases,deaths,recovered,last_update
TL,Timor-Leste,1,0,0,2020-03-21T14:43:04
TL,Timor-Leste,1,0,0,2020-03-22T23:45:00
TL,Timor-Leste,1,0,0,2020-03-23T23:19:21
TL,Timor-Leste,1,0,0,2020-03-24T23:37:15
TL,Timor-Leste,1,0,0,2020-03-25T23:33:04
TL,Timor-Leste,1,0,0,2020-03-26T23:48:18
TL,Timor-Leste,1,0,0,2020-03-27T23:23:03
TL,Timor-Leste,1,0,0,2020-03-28T23:05:25
TL,Timor-Leste,1,0,0,2020-03-29T23:08:13
TL,Timor-Leste,1,0,0,2020-03-30T22:52:33
TL,Timor-Leste,1,0,0,2020-03-31T23:43:43
TL,Timor-Leste,1,0,0,2020-04-01T21:58:34
TL,Timor-Leste,1,0,0,2020-04-02T23:25:14
TL,Timor-Leste,1,0,0,2020-04-03T23:56:18
TL,Timor-Leste,1,0,0,2020-04-04T23:34:04
TL,Timor-Leste,1,0,0,2020-04-05T23:06:26
TL,Timor-Leste,1,0,0,2020-04-06T23:21:55
TL,Timor-Leste,1,0,0,2020-04-07T23:04:29
TL,Timor-Leste,1,0,0,2020-04-08T22:51:39
TL,Timor-Leste,1,0,0,2020-04-09T23:02:19
TL,Timor-Leste,2,0,1,2020-04-10T22:53:48
TL,Timor-Leste,2,0,1,2020-04-11T23:56:45
TL,Timor-Leste,2,0,1,2020-04-12T03:31:35
TL,Timor-Leste,4,0,1,2020-04-13T23:07:34
TL,Timor-Leste,6,0,1,2020-04-14T23:33:12
TL,Timor-Leste,8,0,1,2020-04-15T22:56:32
TL,Timor-Leste,18,0,1,2020-04-16T23:30:31
TL,Timor-Leste,18,0,1,2020-04-17T23:30:32
TL,Timor-Leste,18,0,1,2020-04-18T22:32:28
TL,Timor-Leste,19,0,1,2020-04-19T23:40:41
TL,Timor-Leste,22,0,1,2020-04-20T23:36:27
TL,Timor-Leste,23,0,1,2020-04-21T23:30:30
TL,Timor-Leste,23,0,1,2020-04-22T23:30:32
TL,Timor-Leste,23,0,1,2020-04-23T23:30:31
TL,Timor-Leste,23,0,1,2020-04-24T21:30:34
TL,Timor-Leste,24,0,2,2020-04-25T23:30:33
TL,Timor-Leste,24,0,2,2020-04-26T23:30:31
TL,Timor-Leste,24,0,2,2020-04-27T23:30:31
TL,Timor-Leste,24,0,6,2020-04-28T23:32:24
TL,Timor-Leste,24,0,6,2020-04-29T23:32:26
TL,Timor-Leste,24,0,16,2020-04-30T23:32:27
TL,Timor-Leste,24,0,16,2020-05-01T23:32:36
TL,Timor-Leste,24,0,16,2020-05-02T23:32:31
TL,Timor-Leste,24,0,16,2020-05-03T23:32:29
TL,Timor-Leste,24,0,20,2020-05-04T22:32:33
TL,Timor-Leste,24,0,20,2020-05-05T23:32:29
TL,Timor-Leste,24,0,20,2020-05-06T23:32:28
TL,Timor-Leste,24,0,20,2020-05-07T22:32:32
TL,Timor-Leste,24,0,21,2020-05-08T23:32:35
TL,Timor-Leste,24,0,21,2020-05-09T23:32:33
TL,Timor-Leste,24,0,21,2020-05-10T23:32:32
TL,Timor-Leste,24,0,21,2020-05-11T23:32:30
TL,Timor-Leste,24,0,21,2020-05-12T23:32:26
TL,Timor-Leste,24,0,21,2020-05-13T23:32:26
TL,Timor-Leste,24,0,21,2020-05-14T23:32:28
TL,Timor-Leste,24,0,24,2020-05-15T23:32:20
TL,Timor-Leste,24,0,24,2020-05-16T23:32:19
TL,Timor-Leste,24,0,24,2020-05-17T23:32:23
TL,Timor-Leste,24,0,24,2020-05-18T18:01:58
